symbol,price
BTC,20075.241456363165
ETH,1468.708226401275
USDT,1.0007390461825243
USDC,1.001
BNB,278.67610328715574
BUSD,1.001
XRP,0.37804390066315985
ADA,0.48186792154635577
SOL,33.21434154799812
DOT,7.119271757966959
DOGE,0.06166873783774034
SHIB,0.00001183
DAI,1.001
STETH,1456.87
MATIC,0.8230974572191408
TRX,0.06197094362288062
AVAX,18.43
WBTC,16.577671276880977
ATOM,34.36885210158242
ETC,5.9621160079310584
UNI,58.172569203919466
LTC,7.985817405516613
LINK,4.319414868924451
NEAR,24.57477397449158
FTT,0.11260197095410836
XLM,0.10995797535677442
CRO,150.2928888987711
XMR,122.10204289673202
BCH,0.307924466295763
ALGO,0.00030628
LUNC,1.8012201190858683
FLOW,0.02403062096874061
VET,5.89
FIL,6.32
ICP,4.99
APE,0.7119219724960089
VGX,1.4671264276807818
EOS,403.25
CWBTC,110.48
QNT,0.998061
FRAX,0.0612984268002503
HBAR,1.5448359592174248
XTZ,0.064177
XCN,0.7463702054808903
MANA,0.898104
SAND,0.00528217
HEART,1.89
LDO,13.08
AXS,0.2183590013616962
CHZ,50.77891281573256
EGLD,81.16828428406464
AAVE,1.1132348014920426
THETA,0.999991402118986
TUSD,52.27973191581418
BSV,0.9994446263118665
USDP,3.13
EVMOS,9.24
KCS,0.02266112
CUSDC,1.009161538102551
XEC,0.00004285
GRT,0.10806173386975663
BTT,8.35919
MIOTA,0.2690107792224721
ZEC,58.372331958022905
USDD,1.001
HT,4.607030921227029
CEL,1.5503030242207332
OSMO,1.44
SNX,2.681301140690113
NEO,9.020214442575012
FTM,0.24977072792110905
KLAY,0.208799
USDN,0.916361
GT,4.288253751549696
CAKE,4.33
MKR,684.0375546539367
XRD,0.059459
BIT,0.54075
CDAI,0.021626366079885048
RVN,0.04836937097069737
HNT,4.41
ECOIN,0.00019005
RUNE,1.81
BMAX,0.4669191505165892
DFI,0.907105
PAXG,1666.4696535701298
FEI,0.998023
NEXO,0.9215358251286038
ZIL,0.03460652536548896
ENJ,0.5071534720078026
AR,10.1
LUNA,3.1
RPL,26.78138141138156
BAT,0.32715585024333255
DASH,44.80066483871916
STX,0.357864
BOT,12387.05
CETH,29.55
TKX,5.72
